Daily,Steps,calories,distance,recordkey
2024-11-15,9589.00000,345.36,7.24,3b87c9a4-f983-4168-8f27-85436447bb57
2024-11-16,5075.00000,199.24,4.26,3b87c9a4-f983-4168-8f27-85436447bb57
2024-11-17,5179.00000,183.69,3.98,3b87c9a4-f983-4168-8f27-85436447bb57
2024-11-18,13291.00000,453.15,10.30,3b87c9a4-f983-4168-8f27-85436447bb57
2024-11-19,8203.00000,305.68,6.33,3b87c9a4-f983-4168-8f27-85436447bb57
2024-11-20,10055.00000,341.26,7.72,3b87c9a4-f983-4168-8f27-85436447bb57
2024-11-21,9114.00000,327.44,6.93,3b87c9a4-f983-4168-8f27-85436447bb57
2024-11-22,8496.00000,291.92,6.54,3b87c9a4-f983-4168-8f27-85436447bb57
2024-11-23,5117.00000,194.74,3.98,3b87c9a4-f983-4168-8f27-85436447bb57
2024-11-24,9089.00000,329.34,6.97,3b87c9a4-f983-4168-8f27-85436447bb57
2024-11-25,8660.00000,308.74,6.70,3b87c9a4-f983-4168-8f27-85436447bb57
2024-11-26,7930.00000,281.52,6.08,3b87c9a4-f983-4168-8f27-85436447bb57
2024-11-27,9566.00000,350.06,7.25,3b87c9a4-f983-4168-8f27-85436447bb57
2024-11-28,9769.00000,347.77,7.39,3b87c9a4-f983-4168-8f27-85436447bb57
2024-11-29,8698.00000,303.99,6.68,3b87c9a4-f983-4168-8f27-85436447bb57
2024-11-30,3114.00000,107.87,2.36,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-01,6920.00000,228.82,5.49,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-02,8194.00000,294.78,6.21,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-03,11103.00000,383.32,8.53,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-04,8507.00000,308.82,6.45,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-05,10329.00000,375.13,7.87,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-06,12300.00000,419.26,9.49,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-07,5063.00000,220.87,4.45,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-08,5353.00000,183.44,4.20,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-09,5740.00000,191.13,4.47,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-10,9249.00000,320.30,7.16,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-11,10467.00000,350.56,8.14,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-12,10929.00000,372.07,8.39,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-13,9349.00000,314.54,7.22,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-14,4154.00000,145.77,3.17,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-15,3412.00000,116.98,2.63,3b87c9a4-f983-4168-8f27-85436447bb57
2024-12-16,9482.00000,334.34,7.25,3b87c9a4-f983-4168-8f27-85436447bb57
