Daily,Steps,calories,distance,recordkey
2024-11-15,7243.00000,289.21,5.42,7836887b-b12a-440f-af0f-851546504b13
2024-11-16,10717.00000,425.53,8.02,7836887b-b12a-440f-af0f-851546504b13
2024-11-17,7390.00000,288.49,5.61,7836887b-b12a-440f-af0f-851546504b13
2024-11-18,7928.00000,316.70,6.03,7836887b-b12a-440f-af0f-851546504b13
2024-11-19,5857.00000,232.45,4.48,7836887b-b12a-440f-af0f-851546504b13
2024-11-20,7762.00000,310.83,5.84,7836887b-b12a-440f-af0f-851546504b13
2024-11-21,5952.00000,236.68,4.46,7836887b-b12a-440f-af0f-851546504b13
2024-11-22,9692.00000,385.84,7.39,7836887b-b12a-440f-af0f-851546504b13
2024-11-23,7619.00000,303.11,5.75,7836887b-b12a-440f-af0f-851546504b13
2024-11-24,6285.00000,249.51,4.82,7836887b-b12a-440f-af0f-851546504b13
2024-11-25,6396.00000,256.81,4.92,7836887b-b12a-440f-af0f-851546504b13
2024-11-26,6815.00000,280.83,5.11,7836887b-b12a-440f-af0f-851546504b13
2024-11-27,11522.00000,475.35,8.74,7836887b-b12a-440f-af0f-851546504b13
2024-11-28,9423.00000,385.36,7.05,7836887b-b12a-440f-af0f-851546504b13
2024-11-29,7773.00000,307.34,5.85,7836887b-b12a-440f-af0f-851546504b13
2024-11-30,6409.00000,258.46,4.84,7836887b-b12a-440f-af0f-851546504b13
2024-12-01,6911.00000,279.01,5.28,7836887b-b12a-440f-af0f-851546504b13
2024-12-02,5152.00000,209.01,3.91,7836887b-b12a-440f-af0f-851546504b13
2024-12-03,9253.00000,366.02,6.99,7836887b-b12a-440f-af0f-851546504b13
2024-12-04,11100.00000,452.92,8.33,7836887b-b12a-440f-af0f-851546504b13
2024-12-05,13942.00000,549.58,10.45,7836887b-b12a-440f-af0f-851546504b13
2024-12-06,6069.00000,244.99,4.60,7836887b-b12a-440f-af0f-851546504b13
2024-12-07,6835.00000,277.20,5.15,7836887b-b12a-440f-af0f-851546504b13
2024-12-08,2943.00000,115.40,2.24,7836887b-b12a-440f-af0f-851546504b13
2024-12-09,8659.00000,346.15,6.61,7836887b-b12a-440f-af0f-851546504b13
2024-12-10,6546.00000,265.09,4.96,7836887b-b12a-440f-af0f-851546504b13
2024-12-11,7513.00000,302.82,5.59,7836887b-b12a-440f-af0f-851546504b13
2024-12-12,7093.00000,285.37,5.41,7836887b-b12a-440f-af0f-851546504b13
2024-12-13,8102.00000,325.22,6.13,7836887b-b12a-440f-af0f-851546504b13
2024-12-14,4797.00000,191.80,3.66,7836887b-b12a-440f-af0f-851546504b13
2024-12-15,4245.00000,167.83,3.21,7836887b-b12a-440f-af0f-851546504b13
2024-12-16,6432.00000,257.43,4.86,7836887b-b12a-440f-af0f-851546504b13
