Daily,Steps,calories,distance,recordkey
2024-11-14,2234.54915,0.00,1.79,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-15,6678.91375,0.00,5.34,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-16,5496.56339,0.00,4.40,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-17,4713.00001,0.00,3.77,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-18,10236.49798,0.00,8.19,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-19,7796.35259,0.00,6.24,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-20,6164.00000,0.00,4.93,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-21,7730.00000,0.00,6.18,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-22,9901.00001,0.00,7.92,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-23,8622.52027,0.00,6.90,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-24,4484.57390,0.00,3.59,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-25,7491.16324,0.00,5.99,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-26,8441.36777,0.00,6.75,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-27,8816.00000,0.00,7.05,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-28,7832.86833,0.00,6.27,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-29,5897.31581,0.00,4.72,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-11-30,5326.21478,0.00,4.26,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-01,7443.00000,0.00,5.95,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-02,5908.30104,0.00,4.73,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-03,9561.61903,0.00,7.65,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-04,8164.89376,0.00,6.53,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-05,7242.00000,0.00,5.79,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-06,5952.21774,0.00,4.76,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-07,11768.04716,0.00,9.41,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-08,5751.69848,0.00,4.60,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-09,6465.99661,0.00,5.17,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-10,8041.00000,0.00,6.43,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-11,8734.34598,0.00,6.99,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-12,8509.99999,0.00,6.81,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-13,7315.02599,0.00,5.85,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-14,7114.36440,0.00,5.69,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
2024-12-15,4004.63560,0.00,3.20,7b012e6e-ba2b-49c7-bc2e-473b7b58e72e
